title,artists,rank,year
Ayo ,Chris Brown & Tyga,86,2015
Kick The Dust Up,Luke Bryan,87,2015
Blessings,Big Sean Featuring Drake,88,2015
Budapest,George Ezra,89,2015
Chandelier,Sia,90,2015
Heartbeat Song,Kelly Clarkson,91,2015
Don't,Ed Sheeran,92,2015
Ghost,Ella Henderson,93,2015
Here,Alessia Cara,94,2015
Waves,Mr. Probz,95,2015
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,96,2015
She Knows,Ne-Yo Featuring Juicy J,97,2015
Night Changes,One Direction,98,2015
Back To Back,Drake,99,2015
How Deep Is Your Love,Calvin Harris & Disciples,100,2015
Love Yourself,Justin Bieber,1,2016
Sorry,Justin Bieber,2,2016
One Dance,Drake Featuring WizKid & Kyla,3,2016
Work,Rihanna Featuring Drake,4,2016
Stressed Out,twenty one pilots,5,2016
Panda,Desiigner,6,2016
Hello,Adele,7,2016
Don't Let Me Down,The Chainsmokers Featuring Daya,8,2016
Can't Stop The Feeling!,Justin Timberlake,9,2016
Closer,The Chainsmokers Featuring Halsey,10,2016
Cheap Thrills,Sia Featuring Sean Paul,11,2016
7 Years,Lukas Graham,12,2016
Needed Me,Rihanna,13,2016
My House,Flo Rida,14,2016
I Took A Pill In Ibiza,Mike Posner,15,2016
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,16,2016
This Is What You Came For,Calvin Harris Featuring Rihanna,17,2016
Cake By The Ocean,DNCE,18,2016
"Me, Myself & I",G-Eazy x Bebe Rexha,19,2016
Ride,twenty one pilots,20,2016
Heathens,twenty one pilots,21,2016
Pillowtalk,Zayn,22,2016
Stitches,Shawn Mendes,23,2016
Hotline Bling,Drake,24,2016
Cold Water,Major Lazer Featuring Justin Bieber & MO,25,2016
Send My Love (To Your New Lover),Adele,26,2016
Roses,The Chainsmokers Featuring Rozes,27,2016
Treat You Better,Shawn Mendes,28,2016
Too Good,Drake Featuring Rihanna,29,2016
Low Life,Future Featuring The Weeknd,30,2016
What Do You Mean?,Justin Bieber,31,2016
The Hills,The Weeknd,32,2016
Just Like Fire,P!nk,33,2016
Broccoli,D.R.A.M. Featuring Lil Yachty,34,2016
Don't,Bryson Tiller,35,2016
Dangerous Woman,Ariana Grande,36,2016
Jumpman,Drake & Future,37,2016
I Hate U I Love U,gnash Featuring Olivia O'Brien,38,2016
Here,Alessia Cara,39,2016
Same Old Love,Selena Gomez,40,2016
Controlla,Drake,41,2016
Like I'm Gonna Lose You ,Meghan Trainor Featuring John Legend,42,2016
One Call Away,Charlie Puth,43,2016
Let It Go,James Bay,44,2016
No,Meghan Trainor,45,2016
Never Forget You,Zara Larsson & MNEK,46,2016
Let Me Love You,DJ Snake Featuring Justin Bieber,47,2016
Don't Mind,Kent Jones,48,2016
H.O.L.Y.,Florida Georgia Line,49,2016
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,50,2016
Into You,Ariana Grande,51,2016
Gold,Kiiara,52,2016
Exchange,Bryson Tiller,53,2016
679,Fetty Wap Featuring Remy Boyz,54,2016
Oui,Jeremih,55,2016
Hands To Myself,Selena Gomez,56,2016
2 Phones,Kevin Gates,57,2016
Starboy,The Weeknd Featuring Daft Punk,58,2016
For Free,DJ Khaled Featuring Drake,59,2016
Never Be Like You,Flume Featuring Kai,60,2016
In The Night,The Weeknd,61,2016
Me Too,Meghan Trainor,62,2016
Ex's & Oh's,Elle King,63,2016
Die A Happy Man,Thomas Rhett,64,2016
White Iverson,Post Malone,65,2016
Close,Nick Jonas Featuring Tove Lo,66,2016
Unsteady,X Ambassadors,67,2016
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",68,2016
Down In The DM,Yo Gotti Featuring Nicki Minaj,69,2016
Luv,Tory Lanez,70,2016
Sorry,Beyonce,71,2016
Can't Feel My Face,The Weeknd,72,2016
Hymn For The Weekend,Coldplay,73,2016
Say It,Tory Lanez,74,2016
Antidote,Travis Scott,75,2016
Lost Boy,Ruth B,76,2016
Side To Side,Ariana Grande Featuring Nicki Minaj,77,2016
"Sit Still, Look Pretty",Daya,78,2016
Wildest Dreams,Taylor Swift,79,2016
Middle,DJ Snake Featuring Bipolar Sunshine,80,2016
On My Mind,Ellie Goulding,81,2016
Pop Style,Drake Featuring The Throne,82,2016
When We Were Young,Adele,83,2016
Hide Away,Daya,84,2016
Lean On,Major Lazer & DJ Snake Featuring MO,85,2016
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,86,2016
Watch Me,Silento,88,2016
Back To Sleep,Chris Brown,89,2016
No Limit,Usher Featuring Young Thug,90,2016
Cut It,O.T. Genasis Featuring Young Dolph,91,2016
Really Really,Kevin Gates,92,2016
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,93,2016
Starving,Hailee Steinfeld & Grey Featuring Zedd,94,2016
Adventure Of A Lifetime,Coldplay,95,2016
Humble And Kind,Tim McGraw,96,2016
Wicked,Future,97,2016
Tiimmy Turner,Desiigner,98,2016
See You Again,Wiz Khalifa Featuring Charlie Puth,99,2016
Perfect,One Direction,100,2016
Shape Of You,Ed Sheeran,1,2017
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2,2017
That's What I Like,Bruno Mars,3,2017
Humble.,Kendrick Lamar,4,2017
Something Just Like This,The Chainsmokers & Coldplay,5,2017
Bad And Boujee,Migos Featuring Lil Uzi Vert,6,2017
Closer,The Chainsmokers Featuring Halsey,7,2017
Body Like A Back Road,Sam Hunt,8,2017
Believer,Imagine Dragons,9,2017
Congratulations,Post Malone Featuring Quavo,10,2017
Say You Won't Let Go,James Arthur,11,2017
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",12,2017
XO TOUR Llif3, Lil Uzi Vert,13,2017
Mask Off,Future,14,2017
Unforgettable,French Montana Featuring Swae Lee,15,2017
24K Magic,Bruno Mars,16,2017
Stay,Zedd & Alessia Cara,17,2017
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,18,2017
Black Beatles,Rae Sremmurd Featuring Gucci Mane,19,2017
Starboy,The Weeknd Featuring Daft Punk,20,2017
Location,Khalid,21,2017
Attention,Charlie Puth,22,2017
There's Nothing Holdin' Me Back,Shawn Mendes,23,2017
Bodak Yellow (Money Moves),Cardi B,24,2017
Redbone,Childish Gambino,25,2017
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,26,2017
It Ain't Me,Kygo x Selena Gomez,27,2017
iSpy,KYLE Featuring Lil Yachty,28,2017
Issues,Julia Michaels,29,2017
Scars To Your Beautiful,Alessia Cara,30,2017
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,31,2017
Slow Hands,Niall Horan,32,2017
Love On The Brain,Rihanna,33,2017
I Feel It Coming,The Weeknd Featuring Daft Punk,34,2017
 Bounce Back,Big Sean,35,2017
Strip That Down,Liam Payne Featuring Quavo,36,2017
Fake Love,Drake,37,2017
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,38,2017
Look What You Made Me Do,Taylor Swift,39,2017
Castle On The Hill,Ed Sheeran,40,2017
Bad Things,Machine Gun Kelly x Camila Cabello,41,2017
Paris,The Chainsmokers,42,2017
Side To Side,Ariana Grande Featuring Nicki Minaj,43,2017
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,44,2017
Feel It Still,Portugal. The Man,45,2017
Let Me Love You,DJ Snake Featuring Justin Bieber,46,2017
Sorry Not Sorry,Demi Lovato,47,2017
Bank Account,21 Savage,48,2017
Can't Stop The Feeling!,Justin Timberlake,49,2017
Mi Gente,J Balvin & Willy William Featuring Beyonce,50,2017
Thunder,Imagine Dragons,51,2017
T-Shirt,Migos,52,2017
Rake It Up,Yo Gotti Featuring Nicki Minaj,53,2017
Mercy,Shawn Mendes,54,2017
Tunnel Vision, Kodak Black,55,2017
Rockstar,Post Malone Featuring 21 Savage,56,2017
In Case You Didn't Know,Brett Young,57,2017
Heathens,twenty one pilots,58,2017
Now Or Never,Halsey,59,2017
Caroline,Amine,60,2017
Rolex,Ayo & Teo,61,2017
DNA.,Kendrick Lamar,62,2017
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,63,2017
Swang,Rae Sremmurd,64,2017
Passionfruit,Drake,65,2017
Loyalty.,Kendrick Lamar Featuring Rihanna,66,2017
Praying,Kesha,67,2017
Goosebumps,Travis Scott,68,2017
Cold,Maroon 5 Featuring Future,69,2017
Broccoli,D.R.A.M. Featuring Lil Yachty,70,2017
Slide,Calvin Harris Featuring Frank Ocean & Migos,71,2017
What Ifs,Kane Brown Featuring Lauren Alaina,72,2017
Chained To The Rhythm,Katy Perry Featuring Skip Marley,73,2017
 Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",74,2017
All Time Low,Jon Bellion,75,2017
Hurricane,Luke Combs,76,2017
Too Good At Goodbyes,Sam Smith,77,2017
Young Dumb & Broke, Khalid,78,2017
Magnolia,Playboi Carti,79,2017
Love Galore,SZA Featuring Travis Scott,80,2017
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,81,2017
Starving,Hailee Steinfeld & Grey Featuring Zedd,82,2017
Both,Gucci Mane Featuring Drake,83,2017
What About Us,P!nk,84,2017
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,85,2017
Slippery,Migos Featuring Gucci Mane,86,2017
Sign Of The Times,Harry Styles,87,2017
Water Under The Bridge,Adele,88,2017
Malibu,Miley Cyrus,89,2017
Down,Marian Hill,90,2017
No Promises,Cheat Codes Featuring Demi Lovato,91,2017
Treat You Better,Shawn Mendes,92,2017
I Get The Bag,Gucci Mane Featuring Migos,93,2017
Small Town Boy,Dustin Lynch,94,2017
Everyday We Lit,YFN Lucci Featuring PnB Rock,95,2017
Havana,Camila Cabello Featuring Young Thug,96,2017
What Lovers Do,Maroon 5 Featuring SZA,97,2017
Do Re Mi,blackbear,98,2017
Look At Me!,XXXTENTACION,99,2017
The Fighter,Keith Urban Featuring Carrie Underwood,100,2017
God's Plan,Drake,1,2018
Perfect,Ed Sheeran,2,2018
Meant To Be,Bebe Rexha & Florida Georgia Line,3,2018
Havana,Camila Cabello Featuring Young Thug,4,2018
Rockstar,Post Malone Featuring 21 Savage,5,2018
Psycho,Post Malone Featuring Ty Dolla $ign,6,2018
I Like It,"Cardi B, Bad Bunny & J Balvin",7,2018
The Middle,"Zedd, Maren Morris & Grey",8,2018
In My Feelings,Drake,9,2018
Girls Like You,Maroon 5 Featuring Cardi B,10,2018
Nice For What,Drake,11,2018
Lucid Dreams,Juice WRLD,12,2018
Better Now,Post Malone,13,2018
Finesse,Bruno Mars & Cardi B,14,2018
Boo'd Up,Ella Mai,15,2018
New Rules,Dua Lipa,16,2018
Sad!,XXXTENTACION,17,2018
Never Be The Same,Camila Cabello,18,2018
Love Lies,Khalid & Normani,19,2018
No Tears Left To Cry,Ariana Grande,20,2018
Mine,Bazzi,21,2018
Thunder,Imagine Dragons,22,2018
Look Alive,BlocBoy JB Featuring Drake,23,2018
Delicate,Taylor Swift,24,2018
Yes Indeed,Lil Baby & Drake,25,2018
Friends,Marshmello & Anne-Marie,26,2018
Bad At Love,Halsey,27,2018
Taste,Tyga Featuring Offset,28,2018
Let You Down,NF,29,2018
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,30,2018
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,31,2018
Tequila,Dan + Shay,32,2018
Feel It Still,Portugal. The Man,33,2018
MotorSport,"Migos, Nicki Minaj & Cardi B",34,2018
I Like Me Better,Lauv,35,2018
Youngblood,5 Seconds Of Summer,36,2018
Whatever It Takes,Imagine Dragons,37,2018
Ric Flair Drip,Offset & Metro Boomin,38,2018
I Fall Apart,Post Malone,39,2018
Pray For Me,The Weeknd & Kendrick Lamar,40,2018
Back To You,Selena Gomez,41,2018
Sicko Mode,Travis Scott,42,2018
Walk It Talk It,Migos Featuring Drake,43,2018
Gucci Gang,Lil Pump,44,2018
Him & I,G-Eazy & Halsey,45,2018
In My Blood,Shawn Mendes,46,2018
All The Stars,Kendrick Lamar & SZA,47,2018
Stir Fry,Migos,48,2018
Too Good At Goodbyes,Sam Smith,49,2018
Love.,Kendrick Lamar Featuring Zacari,50,2018
This Is America,Childish Gambino,51,2018
Nonstop,Drake,52,2018
Heaven,Kane Brown,53,2018
Bodak Yellow (Money Moves),Cardi B,54,2018
Freaky Friday,Lil Dicky Featuring Chris Brown,55,2018
Gummo,6ix9ine,56,2018
Plug Walk,Rich The Kid,57,2018
Wait,Maroon 5,58,2018
Be Careful,Cardi B,59,2018
Wolves,Selena Gomez X Marshmello,60,2018
Bartier Cardi,Cardi B Featuring 21 Savage ,61,2018
God Is A Woman,Ariana Grande,62,2018
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",63,2018
Sorry Not Sorry,Demi Lovato,64,2018
How Long,Charlie Puth,65,2018
Lights Down Low,MAX Featuring gnash,66,2018
Young Dumb & Broke,Khalid,67,2018
One Kiss,Calvin Harris & Dua Lipa,68,2018
Natural,Imagine Dragons,69,2018
You Make It Easy,Jason Aldean,70,2018
Shape Of You,Ed Sheeran,71,2018
I Get The Bag,Gucci Mane Featuring Migos,72,2018
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",73,2018
Plain Jane,A$AP Ferg Featuring Nicki Minaj,74,2018
Sky Walker,Miguel Featuring Travis Scott,75,2018
Marry Me,Thomas Rhett,76,2018
Eastside,"benny blanco, Halsey & Khalid",77,2018
Call Out My Name,The Weeknd,78,2018
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",79,2018
Happier,Marshmello & Bastille,80,2018
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",81,2018
Simple,Florida Georgia Line,82,2018
Lemon,N*E*R*D & Rihanna,83,2018
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,84,2018
Say Something,Justin Timberlake Featuring Chris Stapleton,85,2018
I'm Upset ,Drake,86,2018
Get Along,Kenny Chesney,87,2018
Moonlight,XXXTENTACION,88,2018
What Lovers Do,Maroon 5 Featuring SZA,89,2018
X,Nicky Jam x J Balvin,90,2018
Outside Today,YoungBoy Never Broke Again,91,2018
Trip,Ella Mai,92,2018
Dura,Daddy Yankee,93,2018
Changes,XXXTENTACION,94,2018
Mercy,Brett Young,95,2018
One Number Away,Luke Combs,96,2018
Powerglide,Rae Sremmurd & Juicy J,97,2018
IDGAF,Dua Lipa,98,2018
Mi Gente,J Balvin & Willy William Featuring Beyonce,99,2018
Believer ,Imagine Dragons,100,2018
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,2019
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2019
Without Me,Halsey,3,2019
Bad Guy,Billie Eilish,4,2019
Wow.,Post Malone ,5,2019
Happier,Marshmello & Bastille,6,2019
7 Rings,Ariana Grande,7,2019
Talk,Khalid,8,2019
Sicko Mode,Travis Scott,9,2019
Sucker,Jonas Brothers,10,2019
High Hopes,Panic! At The Disco,11,2019
"Thank U, Next",Ariana Grande,12,2019
Truth Hurts,Lizzo,13,2019
Dancing With A Stranger,Sam Smith & Normani,14,2019
Senorita,Shawn Mendes & Camila Cabello,15,2019
I Don't Care,Ed Sheeran & Justin Bieber,16,2019
Eastside,"benny blanco, Halsey & Khalid",17,2019
Going Bad,Meek Mill Featuring Drake,18,2019
Shallow,Lady Gaga & Bradley Cooper,19,2019
Better,Khalid,20,2019
No Guidance,Chris Brown Featuring Drake,21,2019
Girls Like You,Maroon 5 Featuring Cardi B,22,2019
Sweet But Psycho,Ava Max,23,2019
Suge,DaBaby,24,2019
Middle Child,J. Cole,25,2019
Drip Too Hard,Lil Baby & Gunna,26,2019
Someone You Loved,Lewis Capaldi,27,2019
Ran$om,Lil Tecca,28,2019
If I Can't Have You,Shawn Mendes,29,2019
Goodbyes,Post Malone Featuring Young Thug,30,2019
ZEZE,Kodak Black Featuring Travis Scott & Offset,31,2019
Better Now,Post Malone,32,2019
Youngblood,5 Seconds Of Summer,33,2019
Money In The Grave,Drake Featuring Rick Ross,34,2019
Speechless,Dan + Shay,35,2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,36,2019
Please Me,Cardi B & Bruno Mars,37,2019
Money, Cardi B,38,2019
You Need To Calm Down,Taylor Swift,39,2019
Panini,Lil Nas X,40,2019
Look Back At It,A Boogie Wit da Hoodie,41,2019
A Lot,21 Savage,42,2019
ME!,Taylor Swift Featuring Brendon Urie,43,2019
MIA,Bad Bunny Featuring Drake,44,2019
Pop Out,Polo G Featuring Lil Tjay,45,2019
Beautiful Crazy,Luke Combs,46,2019
Thotiana,Blueface,47,2019
Lucid Dreams,Juice WRLD,48,2019
Mo Bamba,Sheck Wes,49,2019
Beautiful People,Ed Sheeran Featuring Khalid,50,2019
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,51,2019
Whiskey Glasses,Morgan Wallen,52,2019
God's Country,Blake Shelton,53,2019
Be Alright,Dean Lewis,54,2019
Pure Water,Mustard & Migos,55,2019
The Git Up,Blanco Brown,56,2019
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",57,2019
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,58,2019
Envy Me,Calboy,59,2019
You Say,Lauren Daigle,60,2019
"Hey Look Ma, I Made It",Panic! At The Disco,61,2019
Circles,Post Malone,62,2019
Beer Never Broke My Heart,Luke Combs,63,2019
The London,"Young Thug, J. Cole & Travis Scott",64,2019
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,65,2019
Murder On My Mind,YNW Melly,66,2019
When The Party's Over,Billie Eilish,67,2019
Act Up,City Girls,68,2019
I Like It,"Cardi B, Bad Bunny & J Balvin",69,2019
Trampoline,SHAED,70,2019
Leave Me Alone,Flipp Dinero,71,2019
Breathin,Ariana Grande,72,2019
Bury A Friend,Billie Eilish,73,2019
Close Friends,Lil Baby,74,2019
Baby Shark,Pinkfong,75,2019
My Type,Saweetie,76,2019
Worth It,YK Osiris,77,2019
Only Human ,Jonas Brothers,78,2019
Knockin' Boots,Luke Bryan,79,2019
Trip,Ella Mai,80,2019
Rumor,Lee Brice,81,2019
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,82,2019
How Do You Sleep?,Sam Smith,83,2019
 Baby,Lil Baby & DaBaby,84,2019
Look What God Gave Her,Thomas Rhett,85,2019
Good As You,Kane Brown,86,2019
Clout,Offset Featuring Cardi B,87,2019
Love Lies,Khalid & Normani,88,2019
One Thing Right,Marshmello & Kane Brown,89,2019
Cash Shit,Megan Thee Stallion Featuring DaBaby,90,2019
Tequila,Dan + Shay,91,2019
Shotta Flow,NLE Choppa,92,2019
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",93,2019
Talk You Out Of It,Florida Georgia Line,94,2019
Beautiful,Bazzi Featuring Camila Cabello,95,2019
Eyes On You,Chase Rice,96,2019
All To Myself,Dan + Shay,97,2019
Boyfriend,Ariana Grande & Social House,98,2019
Walk Me Home,P!nk,99,2019
Robbery,Juice WRLD,100,2019
 Blinding Lights,The Weeknd,1,2020
Circles,Post Malone,2,2020
The Box,Roddy Ricch,3,2020
Don't Start Now,Dua Lipa ,4,2020
Rockstar,DaBaby Featuring Roddy Ricch,5,2020
Adore You,Harry Styles,6,2020
Life Is Good,Future Featuring Drake,7,2020
Memories,Maroon 5,8,2020
The Bones,Maren Morris,9,2020
Someone You Loved,Lewis Capaldi,10,2020
Say So,Doja Cat,11,2020
I Hope,Gabby Barrett Featuring Charlie Puth,12,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",13,2020
Dance Monkey,Tones And I,14,2020
Savage,Megan Thee Stallion,15,2020
Roxanne,Arizona Zervas,16,2020
Intentions,Justin Bieber Featuring Quavo,17,2020
Everything I Wanted,Billie Eilish,18,2020
Roses,SAINt JHN,19,2020
Watermelon Sugar,Harry Styles,20,2020
Before You Go,Lewis Capaldi,21,2020
Falling,Trevor Daniel,22,2020
"10,000 Hours",Dan + Shay & Justin Bieber,23,2020
WAP,Cardi B Featuring Megan Thee Stallion,24,2020
Ballin',Mustard & Roddy Ricch,25,2020
Hot Girl Bummer,blackbear,26,2020
Blueberry Faygo,Lil Mosey,27,2020
Heartless,The Weeknd,28,2020
BOP,DaBaby,29,2020
Lose You To Love Me,Selena Gomez,30,2020
Good As Hell,Lizzo,31,2020
Toosie Slide ,Drake,32,2020
Break My Heart,Dua Lipa,33,2020
Chasin' You,Morgan Wallen,34,2020
Savage Love (Laxed - Siren Beat), Jawsh 685 x Jason Derulo,35,2020
No Guidance,Chris Brown Featuring Drake,36,2020
My Oh My,Camila Cabello Featuring DaBaby,37,2020
Dynamite,BTS,38,2020
Go Crazy,Chris Brown & Young Thug,39,2020
High Fashion,Roddy Ricch Featuring Mustard,40,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,41,2020
Woah,Lil Baby,42,2020
Death Bed,Powfu Featuring beabadoobee,43,2020
Senorita,Shawn Mendes & Camila Cabello,44,2020
HIGHEST IN THE ROOM,Travis Scott,45,2020
Bad Guy,Billie Eilish,46,2020
Mood,24kGoldn Featuring iann dior,47,2020
Rain On Me,Lady Gaga & Ariana Grande,48,2020
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,49,2020
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,50,2020
Heart On Ice,Rod Wave,51,2020
Nobody But You,Blake Shelton Duet With Gwen Stefani,52,2020
Trampoline,SHAED,53,2020
Come & Go,Juice WRLD x Marshmello,54,2020
Truth Hurts,Lizzo,55,2020
If The World Was Ending,JP Saxe Featuring Julia Michaels,56,2020
We Paid,Lil Baby & 42 Dugg,57,2020
Yummy,Justin Bieber,58,2020
One Man Band,Old Dominion,59,2020
Got What I Got,Jason Aldean,60,2020
Sunday Best,Surfaces,61,2020
Godzilla,Eminem Featuring Juice WRLD,62,2020
Bandit,Juice WRLD & YoungBoy Never Broke Again,63,2020
Party Girl,StaySolidRocky,64,2020
Die From A Broken Heart,Maddie & Tae,65,2020
Popstar,DJ Khaled Featuring Drake,66,2020
All I Want For Christmas Is You,Mariah Carey,67,2020
One Of Them Girls,Lee Brice,68,2020
Hard To Forget,Sam Hunt,69,2020
One Margarita,Luke Bryan,70,2020
Panini,Lil Nas X,71,2020
Hot,Young Thug Featuring Gunna,72,2020
I Hope You're Happy Now,Carly Pearce & Lee Brice,73,2020
Emotionally Scarred,Lil Baby,74,2020
Suicidal, YNW Melly & Juice WRLD,75,2020
The Bigger Picture,Lil Baby,76,2020
Only Human,Jonas Brothers,77,2020
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,78,2020
Sum 2 Prove,Lil Baby,79,2020
Stuck With U,Ariana Grande & Justin Bieber,80,2020
Mood Swings,Pop Smoke Featuring Lil Tjay,81,2020
You Should Be Sad,Halsey,82,2020
Dior,Pop Smoke,83,2020
Supalonely,BENEE Featuring Gus Dapperton,84,2020
Even Though I'm Leaving,Luke Combs,85,2020
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",86,2020
Juicy,Doja Cat & Tyga,87,2020
Be Like That,Kane Brown With Swae Lee & Khalid,88,2020
Homesick,Kane Brown,89,2020
Rags2Riches,Rod Wave Featuring ATR Son Son,90,2020
Bluebird,Miranda Lambert,91,2020
Wishing Well,Juice WRLD,92,2020
Does To Me,Luke Combs Featuring Eric Church,93,2020
P*$$y Fairy (OTW),Jhene Aiko,94,2020
ily,Surf Mesa Featuring Emilee,95,2020
More Than My Hometown,Morgan Wallen,96,2020
Lovin' On You,Luke Combs,97,2020
Said Sum, Moneybagg Yo,98,2020
Slide,H.E.R. Featuring YG,99,2020
Walk Em Down,NLE Choppa Featuring Roddy Ricch,100,2020
