title,artists,rank,year,first_artist,title_fmtd,lyrics
Eastside,"benny blanco, Halsey & Khalid",77,2018,benny blanco,eastside,"Uh @ Yeah, yeah @ When I was young, I fell in love @ We used to hold hands, man, that was enough  @ Then we grew up, started to touch @ Used to kiss underneath the light on the back of the bus  @ Oh no, your daddy didn't like me much @ And he didn’t believe me when I said you were the one @ Oh, every day she found a way out of the window to sneak out late @ She used to meet me on the Eastsidе @ In the city where thе sun don't set @ And every day you know that we ride @ Through the backstreets of a blue Corvette @ Baby, you know I just wanna leave tonight @ We can go anywhere we want @ Drive down to the coast, jump in the seat @ Just take my hand and come with me, yeah @ We can do anything if we put our minds to it @ Take your whole life then you put a line through it @ My love is yours if you're willing to take it @ Give me your heart ’cause I ain't gonna break it @ So come away @ Starting today @ Start a new life together in a different place @ We know that love is how these ideas came to be @ So baby, run away, away with me @ Seventeen and we got a dream to have a family @ A house and everything in between @ And then, oh, suddenly we turned twenty-three @ Now we got pressure for taking our life more seriously @ We got our dead-end jobs and got bills to pay @ Have old friends and know our enemies @ Now I, I'm thinking back to when I was young @ Back to the day when I was falling in love @ He used to meet me on the Eastside @ In the city where the sun don't set @ And every day you know where we ride @ Through the backstreets in a blue Corvette @ And baby, you know I just wanna leave tonight @ We can go anywhere we want @ Drive down to the coast, jump in the seat @ Just take my hand and come with me @ Singing @ We can do anything if we put our minds to it @ Take your whole life then you put a line through it @ My love is yours if you're willing to take it @ Give me your heart 'cause I ain't gonna break it @ So come away @ Starting today @ Start a new life together in a different place @ We know that love is how these ideas came to be @ So baby, run away with me @ Run away now @ Run away now @ Run away now @ Run away now @ Run away now @ Run away now @ He used to meet me on the Eastside @ She used to meet me on the Eastside @ He used to meet me on the Eastside @ She used to meet me on the Eastside @ In the city where the sun don't set"
Call Out My Name,The Weeknd,78,2018,the weeknd,call out my name,"We found each other @ I helped you out of a broken place @ You gave me comfort @ But falling for you was my mistake @ I put you on top, I put you on top @ I claimed you so proud and openly @ And when times were rough, when times were rough @ I made sure I held you close to me @ So call out my name  @ Call out my name when I kiss you so gently @ I want you to stay  @ I want you to stay even though you don't want me @ Girl, why can't you wait?  @ Girl, why can't you wait 'til I fall out of love? @ Won't you call out my name?  @ Girl, call out my name, and I'll be on my way and @ I'll be on my— @ I said I didn't feel nothing, baby, but I lied @ I almost cut a piece of myself for your life @ Guess I was just another pit stop @ 'Til you made up your mind @ You just wasted my time @ You were on top, I put you on top @ I claimed you so proud and openly, babe @ And when times were rough, when times were rough @ I made sure I held you close to me @ So call out  @ my @  name @   @ So call out my name when I kiss you so gently  @ I want you to stay  @ I want you to stay even though you don't want me @ Girl, why can't you wait?  @ Girl, why can't you wait 'til I fall out of loving? @ Babe, call out my name  @ Girl call out my name and I'll be on my way @ And, I'll be on my— @ On my way, on my way @ On my way, on my way, ooh @ On my way, on my way, on my way @ On my way, on my way, on my way"
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",79,2018,jay rock,kings dead,"Still in the projects @ Still in the projects @ If you fall-all-all-all @ There's no king of the projects @ Miss me with that bullshit  @ You ain't really wild, you a tourist  @ I be blackin' out with the purist  @ I made a hundred thou', then I freaked it  @ I made 500 thou', then I freaked it  @ I bought a '87 for the weekend  @ This ain't what you want, this ain't what you want  @ This ain't what you want, this ain't what you want  @ And it's like that, lil' bitch @ MVP, I don't get no sleep, no, I don't like that, lil' bitch @ Bust that open, I want that ocean, yeah, that bite back, lil' bitch @ Do it bite back, lil' bitch? Need two life jackets, lil' bitch @ I ain't gon' hold you, I ain't gon' press you, never control you @ I ain't gon' front you, keep it one hundred, I don't know you @ Boss like Top Dawg, bossed my life up, crossin' over @ Stutter steppin', got a Hall of Fame in all my posters @ I've been ready, my whip been ready @ My bitch been ready, my clique been ready @ My shit's been ready, my check's been ready @ My shot's on full, that's Armageddon @ I got pull, I hope y'all ready @ My tank on full, you know, unleaded @ I gotta go get it, I gotta go get it @ I gotta go get it, I gotta go get it @ My name gon' hold up, my team gon' hold up @ My name gon' hold up, my team gon' hold up @ My shots gon' fire, my team gon' roll up @ Ménage-à-trois, my queen gon' roll up @ I hope y'all ready, you know I'm ready @ I reign all day, you know, confetti @ I gotta go get it, I gotta go get it @ I gotta go get it, I gotta go get it, skrrt @ [Chorus: Future &  @ Kendrick Lamar @ ] @ Miss me with that bullshit  @ You're not a gang member, you's a tourist ( @ A tourist @ ) @ I be blackin' out, I be blackin' out @ Bought an '83 Cutlass for the weekend ( @ For the weekend @ ) @ I got a hundred thousand and I freaked it ( @ Then I freaked it @ ) @ I made 500 thousand and I freaked it ( @ Then I freaked it @ ) @ I put a Rolls Royce on my wrist, oh yee-ee @ Fuck his baby mama, tryna sneak diss @ I took her to my penthouse, then I freaked it ( @ Then I freaked it @ ) @ I haven't made my mind up, should I keep it? ( @ Should I keep it? @ ) @ I got big dawg status, it ain't no secret @ [Bridge: Future &  @ Jay Rock @ ] @ La di da di da, slob on me knob @ Pass me some syrup, fuck me in the car @ La di da di da, motherfuck the law @ Chitty chitty bang, murder everything @ Bitch, I'm on a roll, and I put that on the gang @ Yeah, miss me with that bullshit  @ You ain't really wild, you a tourist  @ I be blackin' out with the purist  @ I made a hundred thou', then I freaked it  @ I made 500 thou', then I freaked it  @ I bought a '87 for the weekend  @ This ain't what you want, this ain't what you want  @ This ain't what you want, this ain't what you want "
Happier,Marshmello & Bastille,80,2018,marshmello and bastille,happier,"Lately, I've been, I've been thinking @ I want you to be happier, I want you to be happier @ When the morning comes @ When we see what we've become @ In the cold light of day, we're a flame in the wind @ Not the fire that we've begun @ Every argument, every word we can't take back @ 'Cause with all that has happened @ I think that we both know the way that this story ends @ Then only for a minute @ I want to change my mind @ 'Cause this just don't feel right to me @ I wanna raise your spirits @ I want to see you smile but @ Know that means I'll have to leave @ Know that means I'll have to leave @ Lately, I've been, I've been thinking @ I want you to be happier, I want you to be happier @ When the evening falls @ And I'm left there with my thoughts @ And the image of you being with someone else @ Well, it's eating me up inside @ But we ran our course, we pretended we're okay @ Now if we jump together, at least we can swim @ Far away from the wreck we made @ Then only for a minute @ I want to change my mind @ 'Cause this just don't feel right to me @ I wanna raise your spirits @ I want to see you smile but @ Know that means I'll have to leave @ Know that means I'll have to leave @ Lately, I've been, I've been thinking @ I want you to be happier, I want you to be happier @ So I'll go, I'll go @ I will go, go, go @ So I'll go, I'll go @ I will go, go, go @ Lately, I've been, I've been thinking @ I want you to be happier, I want you to be happier @ Even though I might not like this @ I think that you'll be happier, I want you to be happier @ Then only for a minute  @ I want to change my mind @ 'Cause this just don't feel right to me  @ I wanna raise your spirits  @ I want to see you smile but @ Know that means I'll have to leave @ Know that means I'll have to leave @ Lately, I've been, I've been thinking @ I want you to be happier, I want you to be happier @ So I'll go, I'll go @ I will go, go, go"
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",81,2018,casper magico,te bote,URL-ERROR-LYRICS-NOT-FOUND
Simple,Florida Georgia Line,82,2018,florida georgia line,simple,"The way your fingers fit in mine @ It's five plus five, not rocket science @ This day in time, that's hard to find, it's true @ The road we're on ain't a traffic jam @ It's a Sunday drive on a piece of land @ It's paradise as long as I'm with you @ It's like one, two, three @ Just as easy as can be @ Just the way you look at me @ You make me smile @ Ain't no need to complicate it, we both know that's overrated @ We've been there, it's safe to say it ain't our style @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ We used to live on Instagram @ Worry 'bout who all gives a damn @ 'Bout where we've been and where we ended up @ Then I met you and you met me @ And all the rest is history @ An epiphany that all we need is us @ It's like one, two, three @ Just as easy as can be @ Just the way you look at me @ You make me smile @ Ain't no need to complicate it, we both know that's overrated @ We've been there, it's safe to say it ain't our style @ We're just simple like a six string @ The way this world was meant to be @ Like laughin', love, make a lot out of a little @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ Ain't no need to complicate it, we both know that's overrated @ We've been there, it's safe to say it ain't our style, yeah @ It's like one, two, three @ Just as easy as can be @ Just the way you look at me @ You make me smile @ Ain't no need to complicate it, we both know that's overrated @ We've been there, it's safe to say it ain't our style @ We're just simple like a six string @ The way this world was meant to be @ Like laughin', love, make a lot out of a little @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ It's just that simple, S-I-M-P-L-E @ Simple as can be @ It's just that simple, S-I-M-P-L-E @ Simple as can be"
Lemon,N*E*R*D & Rihanna,83,2018,n e r d and rihanna,lemon,URL-ERROR-LYRICS-NOT-FOUND
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,84,2018,logic,1-800-273-8255,"I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine  @ I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine @ I don't wanna be alive, I don't wanna be alive @ I just wanna die today, I just wanna die @ I don't wanna be alive, I don't wanna be alive @ I just wanna die @ And let me tell you why @ All this other shit I'm talkin' 'bout, they think they know it @ I've been praying for somebody to save me, no one's heroic @ And my life don't even matter, I know it, I know it @ I know I'm hurting deep down, but can't show it @ I never had a place to call my own @ I never had a home, ain't nobody callin' my phone @ Where you been? Where you at? What's on your mind? @ They say every life precious but nobody care about mine @ I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine  @ I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine @ I want you to be alive, I want you to be alive @ You don't gotta die today, you don't gotta die @ I want you to be alive, I want you to be alive @ You don't gotta die, now let me tell you why @ It's the very first breath when your head's been drowning underwater @ And it's the lightness in the air when you're there chest-to-chest with a lover @ It's holding on, though the road's long, seeing light in the darkest things @ And when you stare at your reflection, finally knowing who it is @ I know that you'll thank God you did @ I know where you been, where you are, where you goin' @ I know you're the reason I believe in life @ What's the day without a little night? @ I'm just tryna shed a little light @ It can be hard @ It can be so hard @ But you gotta live right now @ You got everything to give right now @ I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine  @ I've been on the low, I been taking my time @ I feel like I'm out of my mind @ It feel like my life ain't mine @ I finally wanna be alive, I finally wanna be alive @ I don't wanna die today, I don't wanna die @ I finally wanna be alive, I finally wanna be alive @ I don't wanna die, I don't wanna die @ Pain don't hurt the same, I know @ The lane I travel feels alone @ But I'm moving 'til my legs give out @ And I see my tears melt in the snow @ But I don't wanna cry, I don't wanna cry anymore @ I wanna feel alive, I don't even wanna die anymore @ Oh, I don't wanna @ I don't wanna @ I don't even wanna die anymore"
Say Something,Justin Timberlake Featuring Chris Stapleton,85,2018,justin timberlake,say something,"Mhmm, yeah, alright @ Ooh @ Everyone knows all about my direction @ And in my heart somewhere I wanna go there @ Still, I don't go there @ Everybody says, ""Say something that says something” @ “Say something that says something” @ “Say something that says something” @ I don't wanna get caught up in the rhythm of it @ But I can't help myself, no, I can't help myself, no, no @ Caught up in the middle of it @ No, I can't help myself, no I can't help myself, no, no, no @ Caught up in the rhythm of it @ [Post-Chorus: Justin Timberlake &  @ Chris Stapleton @ ] @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have @ [Verse 2: Chris Stapleton &  @ Justin Timberlake @ ] @ Everyone knows all about my transgressions @ Still in my heart somewhere, there's melody and harmony @ For you and me tonight ( @ Whoa @ ) @ I hear them call my name @ [Chorus: Chris Stapleton &  @ Justin Timberlake @ ] @ Everybody says, ""Say something"" @ Then, ""Say something, say something"" @ Then, ""Say something, say something"" @ Then, ""Say something"" @ I don't want to get caught up in the rhythm of it @ But I can't get help myself, no I can't help myself, no, no @ Caught up in the middle of it @ No, I can't help myself, no I can't help myself, no, no, no @ Caught up in the rhythm of it @ [Post-Chorus: Justin Timberlake &  @ Chris Stapleton @ ] @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Sometimes, the greatest way to say something is to say nothing at all @ Sometimes, the greatest way to say something is to say nothing at all @ Sometimes, the greatest way to say something is to say nothing @ But I can't help myself, no I can't help myself, no, no @ Caught up in the middle of it @ No, I can't help myself, no I can't help myself, no, no, no @ Caught up in the rhythm of it @ [Post-Chorus: Justin Timberlake &  @ Chris Stapleton @ ] @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Maybe I'm looking for something I can't have ( @ Maybe I'm looking for something I can't have @ ) @ Sometimes the greatest way to say something is to say nothing at all @ Sometimes the greatest way to say something is to say nothing at all @ Sometimes the greatest way to say something is to say nothing"
I'm Upset ,Drake,86,2018,drake,im upset ,"Yeah @ I'm working on dying @ I'm upset @ Fifty thousand on my head, it's disrespect @ So offended that I had to double check @ I'ma always take the money over sex @ That's why they need me out the way, what you expect? @ Got a lot of blood and it's cold @ They keep tryna get me for my soul @ Thankful for the women that I know @ Can't go fifty-fifty with no ho @ Every month @ I'm supposed to pay her bills and get her what she want @ I still got like seven years of doin' what I want @ My dad still got child support from 1991  @ Outta town, people love to pop a lot of shit then come around @ Word to Flacko Jodye, he done seen us put it down @ Niggas askin' if I'm cool @ I'm upset  @ Hunnid thousand on my head, it's disrespect  @ So offended that I had to double check @ You tryna check? @ This is real life, niggas think we playin' chess @ So what's next? @ Jump up out the bed like I'm possessed @ I go out on tour and I say I'm drinkin' less @ End up gettin' loose and gettin' pictures from my ex  @ SMS, triple X @ That's the only time I ever shoot below the neck  @ Why you keep on shootin' if you know that nigga dead?  @ That's the only kind of shit that gets you some respect @ Got a lot of blood and it's cold @ They keep tryna get me for my soul  @ Thankful for the women that I know @ Can't go fifty-fifty with no ho  @ Every month @ She don't even love me, she just puttin' on a front  @ She gon' try and settle outta court and make a run @ Then gon' ask me how I'm doin'? @ I'm upset  @ Half a million on my head I can accept, yeah @ 'Least it makes me feel like someone tried their best, yeah @ Want to waste a half a million, be my guest @ Made me wanna buy a vest and a TEC  @ But I'm blessed, I just checked  @ Hate me, never met me in the flesh  @ Said she's got some things she gotta come here and collect @ That shit is in a box to the left, to the left  @ Got a lot of blood and it's cold @ They keep tryna get me for my soul  @ Thankful for the women that I know  @ Can't go fifty-fifty with no ho"
Get Along,Kenny Chesney,87,2018,kenny chesney,get along,"Met a man wearin' a T-shirt, says ""Virginia is for lovers"" @ Had a Bible in his left hand and a bottle in the other @ He said ""All you're really given is the sunshine and your name"" @ We both started laughin' when the sky started to rain @ Get along, on down the road @ We've got a long long way to go @ Scared to live, scared to die @ We ain't perfect but we try @ Get along while we can @ Always give love the upper hand @ Paint a wall, learn to dance @ Call your mom, buy a boat @ Drink a beer, sing a song @ Make a friend, can't we all get along @ Saw a model on a billboard, 1-800 get to know me @ Wondered was she Photoshopped, or were her eyes really that lonely? @ Did she leave her hometown thinkin' she'd end up in L.A.? @ Did she break down in the desert and get stuck beside the highway? @ Get along, on down the road @ We've got a long long way to go @ Scared to live, scared to die @ We ain't perfect but we try @ Get along while we can @ Always give love the upper hand @ Paint a wall, learn to dance @ Call your mom, buy a boat @ Drink a beer, sing a song @ Make a friend, can't we all get along @ You'll find out when you die the keys to Heaven can't be bought @ We still don't know what love is but we sure know what it's not @ Sometimes you got to @ Get along, on down the road @ We've got a long long way to go @ Scared to live, scared to die @ We ain't perfect but we try @ Get along while we can @ Always give love the upper hand @ Paint a wall, learn to dance @ Call your mom, buy a boat @ Drink a beer, sing a song @ Make a friend, can't we all get along"
Moonlight,XXXTENTACION,88,2018,xxxtentacion,moonlight,"Yeah @ Spotlight, uh, moonlight, uh @ Nigga, why you trippin'? Get your mood right, uh @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, moonlight @ Nigga, why you trippin'? Get your mood right @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, uh, moonlight @ Nigga, why you trippin'? Get your mood right, uh @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, moonlight @ Nigga, why you trippin'? Get your mood right @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Feel like I'm destined @ I don't need no Smith & Wesson, no @ Boy, who you testin'? @ Fuck a Scantron, here's your lesson, oh @ Knife in intestine @ Takin' shots at all your brethren, no @ Feel like I'm damaged @ Girl I know you fucking planned this @ All alone, call my phone, make me feel right @ Girl you know when you call, make me feel right @ All alone, call my phone, make me feel right @ Girl you know when you call, make me feel right @ Spotlight, uh, moonlight, uh @ Nigga, why you trippin'? Get your mood right, uh @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, moonlight @ Nigga, why you trippin'? Get your mood right @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, uh, moonlight @ Nigga, why you trippin'? Get your mood right, uh @ Shawty look good in the moonlight @ All these pussy niggas so bad mind @ Spotlight, moonlight @ Nigga, why you trippin'? Get your mood right @ Shawty look good in the moonlight @ All these pussy niggas so bad mind"
What Lovers Do,Maroon 5 Featuring SZA,89,2018,maroon 5,what lovers do,"Say say say, hey hey now, baby @ Oh mama, don't play now, baby @ Say say say, hey hey now, baby @ Said let's get one thing straight now, baby @ Tell me, tell me if you love me or not @ Love me or not, love me or not @ I'll bet the house on you, am I lucky or not @ Lucky or not, lucky or not? @ You gotta tell me if you love me or not @ Love me or not, love me or not @ Been wishin' for you, am I lucky or not @ Lucky or not, lucky or not? @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you @ Ooh, ooh @ Tryna do what lovers do, ooh @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you @ Ooh, ooh @ Tryna do what lovers do, ooh @ [Verse 2: SZA &  @ Adam Levine @ ] @ Say say say, hey hey now, baby @ You gon' make me hit you with that laydown, baby ( @ Oh @ ) @ Oh, say say say, hey hey now, baby @ You know what I need, out the gate now, baby ( @ Oh, oh @ ) @ [Pre-Chorus: Adam Levine &  @ SZA @ ] @ Tell me, tell me if you love me or not @ Love me or not, love me or not ( @ Na-na-na @ ) @ I'll bet the house on you, am I lucky or not @ Lucky or not, lucky or not? ( @ Na-na @ ) @ You gotta tell me if you love me or not @ Love me or not, love me or not ( @ Oh yeah @ ) @ Been wishin' for you, am I lucky or not @ Lucky or not, lucky or not? @ [Chorus: Adam Levine &  @ SZA @ ] @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you @ Ooh, ooh @ Tryna do what lovers do, ooh @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you ( @ Wishin' @ ) @ Ooh, ooh @ Tryna do what lovers do, ooh @ [Refrain: Adam Levine &  @ SZA @ ] @  What lovers do  @ What lovers do ( @ Mmm, na-na-na, @  hey yeah) @ What lovers do (Oh,  @ mmm, na-na-na,  @ oh-oh, yeah) @ [Bridge: Adam Levine &  @ SZA @ ] @ Aren't we too grown for games? @ Aren't we too grown to play around? @ Young enough to chase @ But old enough to know better @ Are we too grown for changin'? @ Are we too grown to mess around? Yeah @ Ooh, and I can't wait forever, baby @ Both of us should know better @ [Chorus: Adam Levine &  @ SZA @ ] @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you @ Ooh, ooh @ Tryna do what lovers do, ooh @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you @ Ooh, ooh @ Tryna do what lovers do, ooh @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you ( @ You, oh yeah @ ) @ Ooh, ooh ( @ Ooh @ ) @ Tryna do what lovers do, ooh ( @ Tryna do what lovers do @ ) @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you ( @ Been wishin' for love @ ) @ Ooh, ooh @ Tryna do what lovers do, ooh ( @ Do, ah @ ) @ Ooh-ooh-ooh-ooh-ooh @ Been wishin' for you ( @ Tryna do @ ) @ Ooh, ooh @ Tryna do what lovers do, ooh"
X,Nicky Jam x J Balvin,90,2018,nicky jam x j balvin,x,URL-ERROR-LYRICS-NOT-FOUND
Outside Today,YoungBoy Never Broke Again,91,2018,youngboy never broke again,outside today,"I ain't going outside today @ I ain't going outside today @ You pour me up @ DMac, that nigga be too bangin' @ Tryna hide from the camera, I ain't goin' outside today @ Couldn't find Hi-Tec, so I'm drinkin' on Act' today @ I'ma pull up in style, we gon' do a drive by in the Wraith @ I'ma take it to trial, pray to Lord I beat the case @ That money be callin' @ I don't do no talkin', so get the fuck outta my face @ Gotta TEC and a chopper @ With a hundred thousand dollars up in the  @ Wraith @ You know I ain't slippin', you know that I'm with it @ I'll shoot him right up in his face @ Three say that I'm trippin', you know that I'm drippin' @ I'm wrapped in Saran today @ I just bought a brand new watch from Goyard, I ain't put it on yet @ I don't care 'bout no bitch, I ain't giving her shit @ Spend it all on my homies @ I go put on my son, from my car to my house @ Everything, I own it @ When it come to that money you know I ain't stuntin' @ I be on it @ I just got a pet monkey, cashed out on a tiger @ But really don't want it, my son don't like him @ He say that we beefin', you know I won't fight him @ My clip full of thunder, you know I'll strike 'em @ Wanna join NBA, go and catch you a body @ Free Kevin Gates, it's a murder for hire @ Double G gang on the front of my title @ Got rid of my Glock and I bought me a rifle @ Tryna hide from the camera, I ain't goin' outside today @ Couldn't find Hi-Tec, so I'm drinkin' on Act' today @ I'ma pull up in style, we gon' do a drive by in the Wraith @ I'ma take it to trial, pray to Lord I beat the case @ I jump out at your house, I ain't shootin' from the corner @ Ben bought me a bitch but I really don't want her @ I don't do no cappin', I keep it one hunnid @ Right now I'm recordin' with ten thousand on me @ He say he want smoke but I know he don't want it @ Shoot him and his bitch and I up on his homie @ You know how I'm feelin', I don't got to say it @ Face every problem all by my lonely @ Tryna hide from the camera, I ain't goin' outside today @ Couldn't find Hi-Tec, so I'm drinkin' on Act' today @ I'ma pull up in style, we gon' do a drive by in the Wraith @ I'ma take it to trial, pray to Lord I beat the case"
Trip,Ella Mai,92,2018,ella mai,trip,"Ooh, yeah, yeah @ I put my feelings on safety @ So I don't go shootin' where your heart be @ 'Cause you take the bullet tryna save me @ Then I'm left to deal with makin' you bleed @ And that's a whole lotta love, ain't tryna waste it @ Like we be runnin' a mile to never make it @ That's just too bitter for worse, don't wanna taste it @ That's just too bitter for worse, don't wanna face it @ But I think that I'm done trippin', I'm trip-trippin' @ I've been sippin', that's how I control @ This feelin', you keep givin' @ You keep on hittin' it, ooh, oh @ Maybe it's your love, it's too good to be true @ Baby boy, your love, got me trippin' on you @ You know your love is big enough, make me trip up on you @ Yeah, it's big enough, got me trippin' on you, trip-trippin' on you @ My bad, my bad for, trippin' on you  @ My bad, my bad for, trippin' on you  @ Boy, you know we cool when I ain't waitin' @ But I act a fool when I don't get it @ And I'm steady bruisin' just to save this @ But I tripped on your love, now I'm addicted @ And that's a whole lotta love, ain't tryna waste it @ Like we be runnin' a mile to never make it @ That's just too bitter for worse, don't wanna taste it @ That's just too bitter for worse, don't wanna face it @ But I think that I'm done trippin', I'm trip-trippin' @ I've been sippin', that's how I control @ This feelin', you keep givin' @ You keep on hittin' it, ooh, oh @ Maybe it's your love, it's too good to be true @ Baby boy, your love, got me trippin' on you @ You know your love is big enough, make me trip up on you @ Yeah, it's big enough, got me trippin' on you, trip-trippin' on you @ My bad, my bad for, trippin' on you  @ My bad, my bad for, trippin' on you  @ That's some kind of love, baby  @ That's the type of love, make me  @ It's big enough, make me  @ It's big enough, got me  @ I'm done trippin', I'm trip-trippin' @ I've been sippin', that's how I control @ This feelin', you keep givin' @ You keep on hittin' it, ooh, oh @ Maybe it's your love, it's too good to be true @ Baby boy, your love, got me trippin' on you @ You know your love is big enough, make me trip up on you @ Yeah, it's big enough, got me trippin' on you, trip-trippin' on you @ My bad, my bad for, trippin' on you  @ My bad, my bad for, trippin' on you  @ My bad, my bad for, trippin' on you  @ Said I admit I was wrong when I did it @ My bad, my bad, my bad for, trippin' on you  @ Trippin' on you, yeah, yeah @ Ooh, yeah, yeah"
Dura,Daddy Yankee,93,2018,daddy yankee,dura,"( @ Me gusta mi reggae @ ) @ Tiritiritiririti-Daddy @ Cuando yo la vi @ Dije, ""Si esa mujer fuera para mí"" @ Perdóname, te lo tenía que decir @ 'Tás dura, dura @ Dura, dura, dura @ Que estás dura, mano arriba porque tú te ves bien @ 'Tás dura, mamacita, te fuiste de nivel @ Dura, mira como brilla tu piel @ 'Tás dura, dímelo, dímelo, ¿cómo es que e'? @ 'Tás dura, yo te doy un veinte de diez @ 'Tás dura, dura, dura @ Tú eres la máquina, la máquina de baile @ Si no tiene' a nadie vente pa' mi' brazos, caile @ Ese perfume se siente en el aire @ Algo como Argentina, tú me traes los Buenos Aires @ 'Tá poderosa, media escandalosa @ Habrán muchas mujeres pero tú eres otra cosa @ Si fuera un delito eso de que estás hermosa @ Te arresto en mi cama y te pongo las esposas @ Tienes el toque, toque, toque @ Miren el material, edición especial @ Tienes el toque, toque, toque @ Perdóname, te lo tenía que decir @ 'Tás dura, dura @ Dura, dura, dura @ Que estás dura, mano arriba porque tú te ves bien @ 'Tás dura, mamacita, te fuiste de nivel @ Dura, mira como brilla tu piel @ 'Tás dura, dímelo, dímelo, ¿cómo es que e'? @ 'Tás dura, yo te doy un veinte de diez @ 'Tás dura, dura, dura @ Me gusta como mueve ese ram-pam-pam @ Mi mente maquineando en un plan-plan-plan @ Si me deja, en esa curva le doy pam-pam @ Cuál es tu receta no sé, 'tás pa' comerte bien @ Me gusta como mueve ese ram-pam-pam @ Mi mente maquineando en un plan-plan-plan @ Si me deja, en esa curva le doy pam-pam @ Tu belleza retumba, las otras pa' la tumba @ Uno, dos y tres, vamo' a darle, la envidia que se calle @ Saludos a to'as las nenas que paralizan la calle @ ¿Cómo tú te llamas? ¿de dónde tú eres? @ Dame el número pa' entrar contigo en detalles @ Y tienes el toque, toque, toque @ Pareces una estrella formando el alboroto @ Tienes el toque, toque, toque @ Se cae el internet cuando subes una foto @ Cuando yo la vi  @ Dije: ""Si esa mujer fuera para mí""  @ Perdóname, te lo tenía que decir @ 'Tás dura, dura @ Dura, dura, dura @ Que estás dura, mano arriba porque tú te ves bien @ 'Tás dura, mamacita, te fuiste de nivel @ Dura, mira como brilla tu piel @ 'Tás dura, dímelo, dímelo, ¿cómo es que e'? @ 'Tás dura, yo te doy un veinte de diez @ 'Tás dura, dura, dura @ Tú tienes el size, otra como tú mami no hay @ Pégate, dale boom bye bye @ Que tú tienes el size, otra como tú mami no hay @ Pégate, dale boom bye bye @ Que tú tienes el size, otra como tú mami no hay @ Pégate, dale boom bye bye @ Que tú tienes el size, otra como tú mami no hay @ Pégate, dale boom bye bye, yep, yeah @ Retumbando las bocinas de seguro @ Dirili-Daddy Yankee y el Disco Duro @ Urba & Rome @ Que pa' esta liga no se asomen @ Dura, dura, dura @ DY @ Blaze"
